Date;deficitOnTopLayers (g/m²/d);minTair (°C);maxTair (°C);solarRadiation (MJ/m²/d);extraSolarRadiation (MJ/m²/d);vaporPressure (hPa);tau (plant cover factor dimensionless);hslope (hPa/°C);plantHeight (mm);wind (m/d);VPDair (hPa);isWindVpDefined;Wc_3cm (g/m²/d);Ntip
9/22/1991 12:00:00 AM;35045.7551953041;2.3;14.1;18;27.0096670398948;9.3;0.323342601688049;0.792108158319968;1.08586992765722;557000;2.34972101732163;1;0;0
9/23/1991 12:00:00 AM;35134.1350461828;10.6;16.8;12.3;27.3047339872952;8.5;0.305632530469547;1.03798793044713;1.4111829766648;231000;7.4576080053928;1;0;0
9/24/1991 12:00:00 AM;35214.3288685112;1.2;13;9.8;27.5989489110346;8.1;0.285760289888932;0.742336297399235;1.98217400599273;358000;2.72009678404606;1;0;0
9/25/1991 12:00:00 AM;35287.0949259453;5.6;11.8;12.1;27.8921517762093;8.3;0.273324974334468;0.776620043116277;2.23912496178134;313000;3.16850622967902;1;0;0
9/26/1991 12:00:00 AM;35353.1212404936;1.9;12.6;13.6;28.1841820279223;8.7;0.25867814528406;0.739923977270684;2.55720692179075;384000;2.09817797298439;1;0;0
9/27/1991 12:00:00 AM;30488.3474326813;0.4;11.5;15.9;28.4748787696164;7.9;0.246365944071842;0.687655872958643;2.83884560731058;265000;2.0289860442634;1;2.91886428468739;0
9/28/1991 12:00:00 AM;31029.4148263772;-0.6;13.3;19.5;28.7640809472685;6.4;0.235606880207414;0.728978083471012;3.09672932820582;534000;4.16027794550721;1;2.63017036403003;0
9/29/1991 12:00:00 AM;31517.3438338768;5.9;13.6;4.5;29.0516275394751;7.1;0.227179901470411;0.834668762388691;3.30707752788294;264000;5.33116762559164;1;2.37003007646268;0
9/30/1991 12:00:00 AM;31957.355328018;3.1;16.1;18;29.3373577534477;7;0.215729216306563;0.871601779366351;3.60576257491774;383000;5.96547207063904;1;2.13561928921254;0
10/1/1991 12:00:00 AM;32354.1570293314;5.8;11.1;12.6;29.6211112269257;7.1;0.190631724657096;0.761238610052875;3.93709795161193;612000;4.11852878339103;1;1.92439319388887;0
